$SPX, Daily
      Date,       Open,       High,        Low,      Close,        Volume 
01/02/1970,     92.060,     93.540,     91.790,     93.000,             0 
01/05/1970,     93.000,     94.250,     92.530,     93.460,             0 
01/06/1970,     93.460,     93.810,     92.130,     92.820,             0 
01/07/1970,     92.820,     93.380,     91.930,     92.630,             0 
01/08/1970,     92.630,     93.470,     91.990,     92.680,             0 
01/09/1970,     92.680,     93.250,     91.820,     92.400,             0 
01/12/1970,     92.400,     92.670,     91.200,     91.700,             0 
01/13/1970,     91.700,     92.610,     90.990,     91.920,             0 
01/14/1970,     91.920,     92.400,     90.880,     91.650,             0 
01/15/1970,     91.650,     92.350,     90.730,     91.680,             0 
01/16/1970,     91.680,     92.490,     90.360,     90.920,             0 
01/19/1970,     90.720,     90.720,     89.140,     89.650,             0 
01/20/1970,     89.650,     90.450,     88.640,     89.830,             0 
01/21/1970,     89.830,     90.610,     89.200,     89.950,             0 
01/22/1970,     89.950,     90.800,     89.200,     90.040,             0 
01/23/1970,     90.040,     90.450,     88.740,     89.370,             0 
01/26/1970,     89.230,     89.230,     87.490,     88.170,             0 
01/27/1970,     88.170,     88.540,     86.920,     87.620,             0 
01/28/1970,     87.620,     88.240,     86.440,     86.790,             0 
01/29/1970,     86.790,     87.090,     85.020,     85.690,             0 
01/30/1970,     85.690,     86.330,     84.420,     85.020,             0 
02/02/1970,     85.020,     86.760,     84.760,     85.750,             0 
02/03/1970,     85.750,     87.540,     84.640,     86.770,             0 
02/04/1970,     86.770,     87.660,     85.590,     86.240,             0 
02/05/1970,     86.240,     86.620,     84.950,     85.900,             0 
02/06/1970,     85.900,     86.880,     85.230,     86.330,             0 
02/09/1970,     86.330,     87.850,     86.160,     87.010,             0 
02/10/1970,     87.010,     87.400,     85.580,     86.100,             0 
02/11/1970,     86.100,     87.380,     85.300,     86.940,             0 
02/12/1970,     86.940,     87.540,     85.930,     86.730,             0 
02/13/1970,     86.730,     87.300,     85.710,     86.540,             0 
02/16/1970,     86.540,     87.300,     85.800,     86.470,             0 
02/17/1970,     86.470,     87.080,     85.570,     86.370,             0 
02/18/1970,     86.370,     88.070,     86.190,     87.440,             0 
02/19/1970,     87.440,     88.700,     86.940,     87.760,             0 
02/20/1970,     87.760,     88.740,     86.870,     88.030,             0 
02/24/1970,     88.030,     88.910,     87.280,     87.990,             0 
02/25/1970,     87.990,     89.800,     87.110,     89.350,             0 
02/26/1970,     89.350,     89.630,     87.630,     88.900,             0 
02/27/1970,     88.900,     90.330,     88.420,     89.500,             0 
03/02/1970,     89.500,     90.800,     88.920,     89.710,             0 
03/03/1970,     89.710,     90.670,     88.960,     90.230,             0 
03/04/1970,     90.230,     91.050,     89.320,     90.040,             0 
03/05/1970,     90.040,     90.990,     89.380,     90.000,             0 
03/06/1970,     90.000,     90.360,     88.840,     89.440,             0 
03/09/1970,     89.430,     89.430,     87.940,     88.510,             0 
03/10/1970,     88.510,     89.410,     87.890,     88.750,             0 
03/11/1970,     88.750,     89.580,     88.110,     88.690,             0 
03/12/1970,     88.690,     89.090,     87.680,     88.330,             0 
03/13/1970,     88.330,     89.430,     87.290,     87.860,             0 
03/16/1970,     87.860,     87.970,     86.390,     86.910,             0 
03/17/1970,     86.910,     87.860,     86.360,     87.290,             0 
03/18/1970,     87.290,     88.280,     86.930,     87.540,             0 
03/19/1970,     87.540,     88.200,     86.880,     87.420,             0 
03/20/1970,     87.420,     87.770,     86.430,     87.060,             0 
03/23/1970,     87.060,     87.640,     86.190,     86.990,             0 
03/24/1970,     86.990,     88.430,     86.900,     87.980,             0 
03/25/1970,     88.110,     91.070,     88.110,     89.770,             0 
03/26/1970,     89.770,     90.650,     89.180,     89.920,             0 
03/30/1970,     89.920,     90.410,     88.910,     89.630,             0 
03/31/1970,     89.630,     90.170,     88.850,     89.630,             0 
04/01/1970,     89.630,     90.620,     89.300,     90.070,             0 
04/02/1970,     90.070,     90.700,     89.280,     89.790,             0 
04/03/1970,     89.790,     90.160,     88.810,     89.390,             0 
04/06/1970,     89.390,     89.610,     88.150,     88.760,             0 
04/07/1970,     88.760,     89.310,     87.940,     88.520,             0 
04/08/1970,     88.520,     89.090,     87.830,     88.490,             0 
04/09/1970,     88.490,     89.320,     87.960,     88.530,             0 
04/10/1970,     88.530,     89.140,     87.820,     88.240,             0 
04/13/1970,     88.240,     88.670,     87.150,     87.640,             0 
04/14/1970,     87.640,     87.730,     86.010,     86.890,             0 
04/15/1970,     86.890,     87.710,     86.530,     86.730,             0 
04/16/1970,     86.730,     87.130,     85.510,     85.880,             0 
04/17/1970,     85.880,     86.360,     84.750,     85.670,             0 
04/20/1970,     85.670,     86.360,     84.990,     85.830,             0 
04/21/1970,     85.830,     86.540,     84.990,     85.380,             0 
04/22/1970,     85.380,     85.510,     83.840,     84.270,             0 
04/23/1970,     84.270,     84.300,     82.610,     83.040,             0 
04/24/1970,     83.040,     83.620,     81.960,     82.770,             0 
04/27/1970,     82.770,     83.080,     81.080,     81.460,             0 
04/28/1970,     81.460,     82.160,     79.860,     80.270,             0 
04/29/1970,     80.270,     83.230,     79.310,     81.810,             0 
04/30/1970,     81.810,     82.570,     80.760,     81.520,             0 
05/01/1970,     81.520,     82.320,     80.270,     81.440,             0 
05/04/1970,     81.280,     81.280,     78.850,     79.370,             0 
05/05/1970,     79.370,     79.830,     78.020,     78.600,             0 
05/06/1970,     78.600,     80.910,     78.230,     79.470,             0 
05/07/1970,     79.470,     80.600,     78.890,     79.830,             0 
05/08/1970,     79.830,     80.150,     78.710,     79.440,             0 
05/11/1970,     79.440,     79.720,     78.290,     78.600,             0 
05/12/1970,     78.600,     79.150,     77.060,     77.850,             0 
05/13/1970,     77.750,     77.750,     75.920,     76.530,             0 
05/14/1970,     76.530,     76.640,     74.030,     75.440,             0 
05/15/1970,     75.440,     77.420,     74.590,     76.900,             0 
05/18/1970,     76.900,     77.680,     76.070,     76.960,             0 
05/19/1970,     76.960,     77.200,     75.210,     75.460,             0 
05/20/1970,     75.350,     75.350,     73.250,     73.520,             0 
05/21/1970,     73.510,     73.510,     70.940,     72.160,             0 
05/22/1970,     72.160,     73.420,     71.420,     72.250,             0 
05/25/1970,     72.160,     72.160,     69.920,     70.250,             0 
05/26/1970,     70.250,     71.170,     68.610,     69.290,             0 
05/27/1970,     69.370,     73.220,     69.370,     72.770,             0 
05/28/1970,     72.770,     75.440,     72.590,     74.610,             0 
05/29/1970,     74.610,     76.920,     73.530,     76.550,             0 
06/01/1970,     76.550,     78.400,     75.840,     77.840,             0 
06/02/1970,     77.840,     78.730,     76.510,     77.840,             0 
06/03/1970,     77.840,     79.220,     76.970,     78.520,             0 
06/04/1970,     78.520,     79.420,     76.990,     77.360,             0 
06/05/1970,     77.360,     77.480,     75.250,     76.170,             0 
06/08/1970,     76.170,     77.370,     75.300,     76.000,             0 
06/09/1970,     76.000,     79.960,     75.580,     76.250,             0 
06/10/1970,     76.250,     76.620,     74.920,     75.480,             0 
06/11/1970,     75.480,     75.520,     73.960,     74.450,             0 
06/12/1970,     74.450,     74.840,     73.250,     73.880,             0 
06/15/1970,     73.880,     75.270,     73.670,     74.580,             0 
06/16/1970,     74.580,     76.760,     74.210,     76.150,             0 
06/17/1970,     76.150,     78.040,     75.630,     76.000,             0 
06/18/1970,     76.000,     77.170,     74.990,     76.510,             0 
06/19/1970,     76.510,     78.050,     76.310,     77.050,             0 
06/22/1970,     77.050,     77.430,     75.610,     76.640,             0 
06/23/1970,     76.640,     76.830,     74.520,     74.760,             0 
06/24/1970,     74.760,     75.420,     73.400,     73.970,             0 
06/25/1970,     73.970,     74.930,     73.300,     74.020,             0 
06/26/1970,     74.020,     74.680,     73.090,     73.470,             0 
06/29/1970,     73.470,     73.860,     72.340,     72.890,             0 
06/30/1970,     72.890,     73.890,     72.250,     72.720,             0 
07/01/1970,     72.720,     73.660,     72.110,     72.940,             0 
07/02/1970,     72.940,     73.920,     72.430,     72.920,             0 
07/06/1970,     72.920,     73.120,     71.380,     71.780,             0 
07/07/1970,     71.780,     72.320,     70.690,     71.230,             0 
07/08/1970,     71.230,     73.300,     70.990,     73.000,             0 
07/09/1970,     73.000,     74.770,     72.880,     74.060,             0 
07/10/1970,     74.060,     75.210,     73.490,     74.450,             0 
07/13/1970,     74.450,     75.370,     73.830,     74.550,             0 
07/14/1970,     74.550,     75.040,     73.780,     74.420,             0 
07/15/1970,     74.420,     75.680,     74.060,     75.230,             0 
07/16/1970,     75.230,     77.090,     75.120,     76.340,             0 
07/17/1970,     76.370,     78.230,     76.370,     77.690,             0 
07/20/1970,     77.690,     78.720,     77.040,     77.790,             0 
07/21/1970,     77.790,     77.940,     76.390,     76.980,             0 
07/22/1970,     76.980,     78.200,     76.220,     77.030,             0 
07/23/1970,     77.030,     78.510,     76.460,     78.000,             0 
07/24/1970,     78.000,     78.480,     76.960,     77.820,             0 
07/27/1970,     77.820,     78.270,     77.070,     77.650,             0 
07/28/1970,     77.650,     78.350,     76.960,     77.770,             0 
07/29/1970,     77.770,     78.810,     77.280,     78.040,             0 
07/30/1970,     78.040,     78.660,     77.360,     78.070,             0 
07/31/1970,     78.070,     79.030,     77.440,     78.050,             0 
08/03/1970,     78.050,     78.240,     76.560,     77.020,             0 
08/04/1970,     77.020,     77.560,     76.120,     77.190,             0 
08/05/1970,     77.190,     77.860,     76.590,     77.180,             0 
08/06/1970,     77.180,     77.680,     76.390,     77.080,             0 
08/07/1970,     77.080,     78.090,     76.460,     77.280,             0 
08/10/1970,     77.280,     77.400,     75.720,     76.200,             0 
08/11/1970,     76.200,     76.330,     75.160,     75.820,             0 
08/12/1970,     75.820,     76.240,     75.040,     75.420,             0 
08/13/1970,     75.420,     75.690,     74.130,     74.760,             0 
08/14/1970,     74.760,     75.740,     74.390,     75.180,             0 
08/17/1970,     75.180,     75.790,     74.520,     75.330,             0 
08/18/1970,     75.330,     76.790,     75.300,     76.200,             0 
08/19/1970,     76.200,     77.580,     76.010,     76.960,             0 
08/20/1970,     76.960,     77.990,     76.300,     77.840,             0 
08/21/1970,     77.840,     79.600,     77.460,     79.240,             0 
08/24/1970,     79.410,     81.620,     79.410,     80.990,             0 
08/25/1970,     80.990,     81.810,     79.690,     81.120,             0 
08/26/1970,     81.120,     82.260,     80.600,     81.210,             0 
08/27/1970,     81.210,     81.910,     80.130,     81.080,             0 
08/28/1970,     81.080,     82.470,     80.690,     81.860,             0 
08/31/1970,     81.860,     82.330,     80.950,     81.520,             0 
09/01/1970,     81.520,     81.800,     80.430,     80.950,             0 
09/02/1970,     80.950,     81.350,     79.950,     80.960,             0 
09/03/1970,     80.960,     82.630,     80.880,     82.090,             0 
09/04/1970,     82.090,     83.420,     81.790,     82.830,             0 
09/08/1970,     82.830,     83.690,     81.480,     83.040,             0 
09/09/1970,     83.040,     83.780,     81.900,     82.790,             0 
09/10/1970,     82.790,     82.980,     81.620,     82.300,             0 
09/11/1970,     82.300,     83.190,     81.810,     82.520,             0 
09/14/1970,     82.520,     83.130,     81.430,     82.070,             0 
09/15/1970,     82.070,     82.110,     80.750,     81.360,             0 
09/16/1970,     81.360,     82.570,     80.610,     81.790,             0 
09/17/1970,     81.790,     83.090,     81.510,     82.290,             0 
